area_sqft,bedrooms,bathrooms,floors,age_years,parking,distance_city_km,near_metro,furnishing,locality_rating,price_inr
863,5,5,3,21,2,25.96,1,Semi-Furnished,2.6,13258216
4528,4,1,4,29,3,15.43,1,Semi-Furnished,2.6,34450397
4779,4,2,2,14,3,27.05,0,Unfurnished,4.3,36608216
950,2,2,2,6,3,5.11,0,Semi-Furnished,3.9,11215012
3406,2,1,4,26,0,11.54,1,Unfurnished,2.5,24955538
1280,3,2,2,13,0,25.45,1,Furnished,4.0,13472918
651,4,4,3,24,1,34.2,1,Semi-Furnished,2.9,9563010
4766,5,1,4,15,0,1.98,0,Furnished,3.7,36365531
4303,6,2,2,27,0,10.2,0,Unfurnished,2.7,33926029
1887,4,5,3,17,1,20.29,1,Unfurnished,4.4,19743259
4167,1,3,3,29,2,25.86,1,Furnished,2.6,30451446
2435,5,4,3,9,3,31.92,1,Semi-Furnished,2.9,23430064
1341,4,4,2,21,1,18.19,1,Unfurnished,3.4,15783840
4873,5,3,1,8,1,15.63,1,Furnished,3.8,39253666
1774,4,5,2,9,0,11.14,1,Furnished,3.7,19603611
3837,4,4,2,14,3,34.2,1,Furnished,2.8,31700522
1645,4,5,3,2,3,7.44,1,Semi-Furnished,3.8,20095981
4826,6,3,3,28,0,32.63,0,Unfurnished,2.8,36902348
4656,3,3,1,18,1,12.08,1,Furnished,4.3,37272311
1167,5,1,3,24,0,27.78,1,Unfurnished,4.5,12191162
3976,4,2,1,33,3,25.37,0,Furnished,4.4,31498640
632,4,4,3,29,3,12.85,1,Semi-Furnished,3.3,11254445
1738,4,4,4,30,1,19.68,1,Unfurnished,4.5,17696223
2513,2,3,1,20,1,33.05,1,Furnished,5.0,20813321
1744,3,1,1,34,0,9.47,1,Furnished,4.7,16913134
2500,5,4,1,17,0,2.67,1,Unfurnished,4.9,25237651
3325,2,1,4,13,0,5.03,1,Semi-Furnished,2.7,25357407
2740,3,3,3,17,1,13.22,1,Semi-Furnished,4.6,23691528
2253,5,5,1,0,2,11.38,0,Unfurnished,2.7,22794771
574,4,4,1,16,1,9.64,0,Semi-Furnished,2.7,9363502
3651,5,5,1,32,1,5.37,1,Furnished,3.0,33134885
609,6,3,1,11,1,28.06,1,Furnished,3.9,12311484
2196,2,3,2,32,1,25.27,1,Semi-Furnished,2.6,16862242
1606,6,4,1,1,2,24.98,0,Unfurnished,3.0,16668841
4816,4,2,4,4,0,7.83,0,Semi-Furnished,3.0,36418282
757,5,4,1,15,3,3.79,0,Furnished,3.7,12612078
743,5,1,1,8,1,26.4,1,Furnished,2.7,11001071
1929,6,2,1,25,0,11.4,0,Furnished,2.8,18594333
3821,3,5,3,27,1,32.29,1,Unfurnished,2.8,29932493
1316,1,4,2,32,1,24.93,0,Furnished,4.9,12792884
2628,4,3,3,22,0,10.59,1,Furnished,4.8,24640123
1044,3,2,2,17,3,17.64,0,Furnished,4.0,12527283
438,5,2,3,22,2,19.81,1,Furnished,4.3,10006006
3990,3,3,4,21,0,1.17,1,Furnished,4.6,32537898
1864,4,3,1,22,1,6.08,1,Furnished,2.6,18537798
3263,4,3,2,1,3,21.92,0,Semi-Furnished,3.2,27071227
2697,2,1,1,18,3,7.0,0,Semi-Furnished,2.8,21446263
1231,3,1,3,6,0,12.47,1,Unfurnished,3.9,12430146
1645,2,2,3,28,2,15.61,0,Furnished,2.8,14562962
3066,1,3,1,18,1,9.3,1,Semi-Furnished,3.4,23489164
2309,3,1,4,2,2,3.08,1,Unfurnished,2.7,19581412
1597,5,2,4,25,2,19.25,1,Furnished,4.5,17398046
759,2,3,4,9,3,17.69,0,Semi-Furnished,4.3,10169972
3538,3,3,3,32,3,24.15,0,Unfurnished,4.9,27488806
1630,1,3,1,14,2,30.62,1,Semi-Furnished,4.0,14705035
3455,3,3,4,8,2,3.64,0,Semi-Furnished,2.5,28546658
4911,5,2,2,14,3,33.34,1,Semi-Furnished,4.5,38289583
1000,2,4,2,10,0,29.54,0,Unfurnished,4.8,9512573
3543,5,5,1,11,1,6.53,1,Unfurnished,3.9,31921146
1516,3,5,2,17,3,17.13,0,Semi-Furnished,3.6,17395982
4299,2,4,4,4,3,11.65,0,Furnished,4.1,33958397
607,5,4,3,23,0,14.95,0,Furnished,4.3,10227040
3319,3,3,2,6,0,19.04,1,Semi-Furnished,3.6,27603498
3054,6,2,1,20,2,21.35,0,Furnished,2.6,26444176
2667,4,5,2,0,2,25.98,0,Semi-Furnished,2.7,23728304
3618,1,4,4,27,0,28.71,1,Furnished,3.7,27795281
3306,4,4,3,4,0,14.43,0,Furnished,3.1,27889596
3291,3,3,2,15,0,9.17,0,Furnished,2.7,24921272
1442,1,5,3,12,1,27.42,0,Unfurnished,3.1,12882949
2598,5,3,1,16,3,25.04,0,Semi-Furnished,3.3,23245531
3970,2,4,3,10,2,10.45,0,Semi-Furnished,2.8,31184873
3521,4,2,3,10,1,3.12,1,Furnished,5.0,29969576
3748,4,4,1,13,2,12.6,1,Semi-Furnished,4.3,31619557
4085,4,2,1,7,2,21.19,0,Semi-Furnished,4.5,32083797
918,3,2,1,30,3,22.71,0,Unfurnished,4.0,9820181
3340,5,1,3,8,2,12.92,1,Furnished,4.7,29051729
2929,5,2,3,16,0,28.92,1,Unfurnished,3.5,24320574
2590,3,1,1,34,3,29.34,1,Semi-Furnished,3.5,20717008
619,3,3,2,21,1,14.46,1,Semi-Furnished,2.8,8507435
819,3,4,3,23,0,11.07,0,Furnished,4.3,11580994
3198,6,4,1,20,1,23.18,0,Furnished,2.6,27396062
3243,2,5,2,24,3,20.98,1,Semi-Furnished,3.4,27337429
3954,2,4,2,34,2,32.84,0,Unfurnished,3.3,29553578
4629,3,2,4,22,2,25.66,1,Semi-Furnished,2.8,34245498
4966,3,1,1,29,0,32.34,0,Unfurnished,3.7,34478529
4105,2,5,1,32,0,22.88,0,Semi-Furnished,4.1,31305850
1341,5,4,2,17,3,9.13,1,Unfurnished,4.4,17611569
3337,2,1,1,6,0,21.28,0,Semi-Furnished,3.2,24562555
2313,4,2,2,5,3,29.01,1,Semi-Furnished,2.6,21069029
1604,1,1,4,30,1,29.13,0,Semi-Furnished,3.0,12039118
4391,3,4,4,10,1,28.06,1,Semi-Furnished,3.1,33335111
4454,6,3,2,16,3,31.16,1,Furnished,4.8,37373196
3459,2,5,4,22,3,10.68,0,Furnished,4.6,28864364
2860,3,2,4,7,2,29.47,1,Furnished,4.3,23982272
2063,1,2,3,7,0,7.09,1,Semi-Furnished,4.8,18738115
1544,1,2,2,30,3,14.72,0,Furnished,5.0,14372363
3890,2,1,4,13,0,25.68,1,Semi-Furnished,2.7,28390993
3184,5,5,3,10,1,22.07,1,Furnished,4.4,29377241
2220,4,4,1,2,3,24.14,1,Semi-Furnished,3.7,22303698
743,6,4,1,8,2,21.16,1,Furnished,3.4,14614794
4634,5,1,4,4,0,28.29,1,Semi-Furnished,4.4,36864317
454,3,5,4,23,0,29.26,0,Furnished,3.2,7091082
4049,5,3,2,0,1,22.58,1,Furnished,3.6,33698121
2921,4,1,4,31,2,15.4,1,Semi-Furnished,4.6,24660999
1884,3,5,1,15,2,28.9,0,Unfurnished,3.2,17622085
4621,6,3,3,27,3,32.86,0,Furnished,3.6,37615481
2357,3,3,2,2,2,34.25,1,Furnished,4.2,21338450
1859,1,1,3,0,0,10.78,0,Unfurnished,3.3,14214139
2212,2,2,4,22,2,23.2,1,Furnished,4.5,19383452
462,6,3,2,18,1,11.24,0,Unfurnished,4.8,10346520
3054,5,3,3,32,1,9.05,0,Unfurnished,4.2,26021272
3239,1,4,2,25,0,29.47,0,Semi-Furnished,4.7,24894617
1035,2,3,2,32,0,32.21,0,Furnished,3.1,9862985
2134,3,5,4,20,2,16.97,1,Semi-Furnished,4.1,21167858
2356,2,4,3,24,2,17.78,1,Unfurnished,2.9,19875777
2680,3,4,2,31,3,28.44,1,Unfurnished,3.4,23634390
3280,6,1,3,23,3,11.59,1,Furnished,3.1,28586373
4121,3,5,2,32,3,1.85,0,Semi-Furnished,4.2,34505279
888,3,3,4,1,3,12.33,0,Furnished,3.8,12595676
4004,4,4,1,9,0,13.56,0,Unfurnished,3.3,31153186
2983,1,2,4,11,2,29.95,1,Furnished,3.4,22723917
1469,6,3,1,18,2,3.03,0,Semi-Furnished,4.1,17060615
2002,6,3,3,30,0,13.25,1,Furnished,3.8,20921677
1822,5,1,4,13,0,21.46,0,Semi-Furnished,4.0,16985675
2670,1,2,1,7,2,5.27,0,Furnished,4.1,21464927
3806,2,3,3,29,2,6.17,0,Furnished,2.7,29803627
1297,2,4,4,21,3,5.28,1,Semi-Furnished,3.6,15202767
4603,6,3,1,6,0,1.03,0,Semi-Furnished,4.1,37910386
1186,6,4,2,1,0,1.38,1,Unfurnished,4.0,16485463
4876,2,4,4,0,1,18.76,0,Unfurnished,2.8,36572331
1732,3,4,3,4,2,20.71,1,Furnished,3.3,18417902
2052,1,4,1,10,1,17.7,0,Unfurnished,3.2,16584568
1929,2,4,3,23,0,13.35,0,Furnished,3.3,16496301
2379,3,3,3,17,3,4.15,1,Unfurnished,4.7,22830974
4102,3,3,1,29,0,13.66,0,Unfurnished,2.6,30719376
4507,4,1,2,9,1,7.82,1,Unfurnished,3.3,34903996
1226,3,2,1,5,3,4.27,0,Semi-Furnished,4.4,14117576
2527,6,2,1,20,2,15.58,0,Furnished,2.9,23635486
1595,4,2,1,25,0,30.92,1,Furnished,2.9,15406096
4874,3,2,3,19,2,28.91,1,Unfurnished,4.8,36291999
3356,5,3,2,21,2,31.71,1,Furnished,2.6,29520245
3378,2,5,3,21,1,13.78,0,Semi-Furnished,2.7,25970453
969,1,5,3,17,0,16.34,0,Unfurnished,4.3,9632946
3146,5,1,2,29,2,9.45,0,Semi-Furnished,2.7,25942780
1502,3,2,2,29,3,28.73,1,Unfurnished,4.9,15381141
2827,2,3,3,19,1,2.59,0,Semi-Furnished,4.5,22811194
2855,3,4,2,7,0,2.37,0,Semi-Furnished,2.8,24854751
465,4,5,3,8,0,27.05,0,Semi-Furnished,4.7,9767249
3628,2,5,3,26,1,19.71,1,Furnished,2.9,29099743
1866,5,3,3,28,2,9.13,0,Semi-Furnished,3.8,19445474
2189,4,1,4,20,3,13.98,0,Furnished,4.8,20953940
555,5,4,4,21,2,21.82,0,Furnished,2.8,10098186
2108,3,2,1,18,2,27.07,1,Unfurnished,3.5,19191234
3365,2,1,4,27,0,24.9,1,Semi-Furnished,3.1,24386194
590,4,5,2,19,3,29.56,1,Unfurnished,3.5,10127806
3997,3,1,1,13,1,3.74,1,Semi-Furnished,4.2,31151992
4786,1,2,3,16,2,6.94,1,Semi-Furnished,3.6,34912463
1057,4,2,1,32,2,33.83,0,Unfurnished,3.1,10473705
4265,6,4,4,22,3,18.67,0,Semi-Furnished,3.2,36793890
1450,2,5,1,29,3,19.49,1,Unfurnished,3.0,14525141
604,3,3,1,7,1,33.11,1,Semi-Furnished,4.4,8564309
3102,3,5,1,1,2,27.8,1,Semi-Furnished,4.9,27036248
3383,1,5,3,23,2,23.95,1,Furnished,3.3,26311060
1390,1,1,2,4,3,28.75,1,Semi-Furnished,4.2,11463555
3890,5,3,2,6,3,25.5,1,Semi-Furnished,3.5,32696035
3968,6,4,1,20,2,4.03,1,Furnished,3.7,35294223
2065,4,4,4,3,2,25.16,1,Semi-Furnished,2.8,20307235
3410,2,3,3,30,1,22.94,1,Unfurnished,3.1,25194884
3987,6,3,4,5,2,12.64,0,Semi-Furnished,4.9,34790448
3694,5,4,2,32,2,4.5,0,Unfurnished,4.2,30600034
2618,2,2,1,17,1,27.86,0,Semi-Furnished,4.5,20422499
1244,6,1,4,2,3,13.22,1,Furnished,2.7,15615547
2693,2,4,3,19,1,9.15,0,Unfurnished,2.6,22039645
1255,6,5,1,7,1,1.1,0,Unfurnished,4.4,17142148
2338,2,4,4,31,1,6.06,0,Unfurnished,3.4,19444377
2553,4,2,3,1,0,11.58,0,Unfurnished,4.9,21548799
2247,3,4,3,13,3,16.65,0,Unfurnished,3.8,19677252
3766,1,4,1,25,1,29.32,0,Furnished,5.0,29518619
4729,2,2,2,13,2,33.52,0,Semi-Furnished,4.3,34571184
2598,1,2,4,17,3,22.95,0,Unfurnished,3.1,19797860
4641,5,5,1,13,1,13.38,1,Semi-Furnished,4.8,39476222
1402,4,3,2,22,2,18.04,0,Unfurnished,3.2,14557556
1251,3,1,4,33,1,24.33,0,Unfurnished,3.7,10882189
1166,4,3,4,32,0,29.71,1,Semi-Furnished,3.9,12732004
4089,6,4,1,25,1,24.95,1,Unfurnished,3.4,34037274
3679,4,5,4,4,1,1.56,0,Furnished,3.5,31521437
3472,2,4,2,24,1,4.6,1,Semi-Furnished,3.3,29156344
1222,6,5,3,18,1,26.74,0,Semi-Furnished,4.3,16681770
4298,1,3,2,25,3,12.16,1,Unfurnished,4.6,32839904
3681,4,1,3,32,3,22.26,0,Semi-Furnished,3.9,28518572
2836,4,1,3,15,1,2.03,0,Unfurnished,3.5,23373147
474,6,2,2,34,2,17.9,0,Furnished,4.0,10989950
4408,2,1,3,20,0,2.23,1,Furnished,3.7,32393136
1387,5,4,3,33,3,21.96,0,Unfurnished,2.6,15867981
740,6,2,2,9,1,10.19,1,Furnished,3.4,13273522
1122,2,5,4,28,0,31.59,0,Unfurnished,4.3,11251170
2592,3,1,1,3,3,27.62,1,Unfurnished,3.5,21442534
3409,4,3,3,9,0,30.28,1,Semi-Furnished,4.7,28754973
3644,6,1,3,7,2,22.72,0,Semi-Furnished,3.0,30251815
2705,6,5,4,14,1,26.91,1,Furnished,3.5,26494500
2264,2,4,4,5,2,9.23,0,Unfurnished,4.7,21228777
1156,2,2,3,24,1,30.56,0,Unfurnished,4.4,10887942
3249,4,1,1,14,0,25.73,1,Furnished,4.9,26881044
2674,5,2,3,21,1,25.49,1,Furnished,2.6,23368140
3301,3,3,1,30,1,1.79,0,Semi-Furnished,3.1,26715265
793,4,3,4,12,0,16.86,0,Furnished,4.6,11919682
4581,4,1,4,19,0,33.76,0,Unfurnished,4.4,34179769
3292,1,4,4,13,3,8.25,0,Furnished,3.8,26779179
1908,2,5,2,26,0,17.04,1,Unfurnished,3.3,17313510
2872,5,2,1,21,3,13.46,0,Furnished,4.1,26287945
3894,3,1,2,13,1,5.77,0,Furnished,3.7,29809490
3467,1,5,3,18,0,21.71,1,Unfurnished,4.5,27094736
4147,5,1,2,2,3,5.11,0,Unfurnished,4.7,34162247
1854,4,1,3,27,1,18.7,1,Semi-Furnished,4.4,17151457
3624,1,3,3,5,3,32.15,1,Furnished,4.2,28878814
2255,5,5,2,25,3,28.57,1,Furnished,3.0,22864234
1126,1,5,4,5,3,25.04,0,Unfurnished,4.4,12392141
2550,5,4,4,19,0,33.81,0,Semi-Furnished,2.7,22417390
1951,1,1,3,6,1,2.13,0,Semi-Furnished,4.7,16712008
909,5,1,2,24,0,4.79,0,Furnished,4.4,11485526
2272,2,1,1,22,0,13.7,0,Unfurnished,3.3,17771641
1296,1,4,2,22,1,11.92,0,Furnished,3.8,12981211
1076,6,3,3,2,1,23.11,0,Unfurnished,4.5,15043228
2773,1,2,3,14,3,19.62,0,Semi-Furnished,3.7,22683780
3224,2,2,3,16,3,9.65,0,Semi-Furnished,4.0,25803839
1616,4,5,4,21,0,24.64,0,Unfurnished,2.8,15603934
677,2,4,4,27,0,31.74,0,Furnished,3.1,8102412
973,5,1,1,19,1,24.39,0,Semi-Furnished,4.9,11846867
2561,3,2,2,33,0,16.95,1,Semi-Furnished,4.7,21519844
2362,1,3,1,26,3,30.56,0,Semi-Furnished,3.1,18496415
2730,5,1,1,29,1,28.68,0,Furnished,4.0,22433134
4437,6,1,4,34,1,10.71,0,Unfurnished,2.6,33500854
2091,6,5,3,20,2,4.16,0,Semi-Furnished,2.6,21982699
4112,2,1,1,15,2,30.14,0,Unfurnished,4.7,30007350
2742,6,1,4,12,3,32.37,1,Furnished,3.7,25387459
792,5,3,3,24,1,23.21,0,Unfurnished,3.7,11103876
468,2,2,3,17,0,30.21,1,Unfurnished,4.9,6974035
4863,4,3,1,28,3,29.37,0,Furnished,3.5,36805636
2793,5,1,3,29,2,20.38,1,Unfurnished,4.7,24168231
2924,1,3,3,26,2,31.79,1,Unfurnished,4.4,22039883
1997,6,5,2,9,0,17.92,0,Semi-Furnished,4.5,21569548
2213,4,4,3,5,2,9.88,1,Unfurnished,2.5,20773333
3906,4,2,4,11,2,33.71,0,Semi-Furnished,4.5,29984442
638,3,3,4,23,0,30.4,0,Furnished,4.9,8663266
2882,6,1,4,27,1,9.23,0,Semi-Furnished,2.9,24986775
3168,4,3,4,0,3,23.35,1,Semi-Furnished,3.8,27694186
479,1,1,1,13,3,7.39,0,Unfurnished,2.7,6214957
4655,1,5,3,15,1,27.68,1,Furnished,4.3,35187134
4882,5,4,4,1,1,18.76,0,Unfurnished,4.5,39634212
3006,3,3,1,31,0,19.12,1,Unfurnished,2.9,23601373
2319,3,2,3,12,0,5.1,0,Furnished,2.6,19974439
2705,2,4,1,29,3,24.38,1,Unfurnished,4.6,22404278
3583,4,1,4,29,2,20.79,0,Unfurnished,3.3,27591972
1316,4,3,4,23,2,13.69,0,Unfurnished,2.6,13602010
2993,4,5,2,31,0,6.23,0,Furnished,2.6,25679979
3861,1,5,2,33,3,18.43,1,Semi-Furnished,4.4,29771866
4909,5,2,4,14,2,18.39,0,Semi-Furnished,4.2,38755673
4978,3,2,4,26,0,10.99,0,Furnished,5.0,37502255
